id,"recovery","start",value
1,"2021-08-13","2021-08-06",-100
2,"2021-08-12","2021-08-05",-100
3,"2021-08-11","2021-08-04",-100
4,"2021-08-10","2021-08-03",-100
5,"2021-08-09","2021-08-02",-100
6,"2021-08-06","2021-07-30",-300
7,"2021-08-05","2021-07-29",-300
8,"2021-08-04","2021-07-28",-100
9,"2021-08-03","2021-07-27",-100
10,"2021-08-02","2021-07-26",-100
11,"2021-07-30","2021-07-23",-100
12,"2021-07-29","2021-07-22",-100
13,"2021-07-28","2021-07-21",-100
14,"2021-07-27","2021-07-20",-100
15,"2021-07-26","2021-07-19",-100
16,"2021-07-23","2021-07-16",-100
17,"2021-07-22","2021-07-15",-100
18,"2022-07-15","2021-07-15",-1000
19,"2021-07-21","2021-07-14",-100
20,"2021-07-20","2021-07-13",-100
21,"2021-07-19","2021-07-12",-100
22,"2021-07-16","2021-07-09",-100
23,"2021-07-15","2021-07-08",-100
24,"2021-07-14","2021-07-07",-100
25,"2021-07-13","2021-07-06",-100
26,"2021-07-12","2021-07-05",-100
27,"2021-07-09","2021-07-02",-100
28,"2021-07-08","2021-07-01",-100
29,"2021-07-07","2021-06-30",-300
30,"2021-07-06","2021-06-29",-300
31,"2021-07-05","2021-06-28",-300
32,"2021-07-02","2021-06-25",-300
33,"2021-07-01","2021-06-24",-300
34,"2021-06-30","2021-06-23",-100
35,"2021-06-29","2021-06-22",-100
36,"2021-06-28","2021-06-21",-100
37,"2021-06-25","2021-06-18",-100
38,"2021-06-24","2021-06-17",-100
39,"2021-06-23","2021-06-16",-100
40,"2021-06-22","2021-06-15",-100
41,"2022-06-15","2021-06-15",-2000
42,"2021-06-18","2021-06-11",-100
43,"2021-06-17","2021-06-10",-100
44,"2021-06-16","2021-06-09",-100
45,"2021-06-15","2021-06-08",-100
46,"2021-06-14","2021-06-07",-100
47,"2021-06-11","2021-06-04",-100
48,"2021-06-10","2021-06-03",-100
49,"2021-06-09","2021-06-02",-100
50,"2021-06-08","2021-06-01",-100
51,"2021-06-07","2021-05-31",-100
52,"2021-06-04","2021-05-28",-100
53,"2021-06-03","2021-05-27",-100
