id,fund,"date"
4,122369,"2021-07-23"
5,122369,"2021-07-24"
6,122369,"2021-07-25"
7,122369,"2021-07-26"
8,125918,"2021-07-27"
9,121415,"2021-07-28"
10,119503,"2021-07-29"
12,119571,"2021-07-30"
13,123064,"2021-07-31"
14,123239,"2021-08-02"
15,123306,"2021-08-03"
16,120312,"2021-08-04"
17,123666,"2021-08-05"
18,121670,"2021-08-06"
19,124076,"2021-08-07"
20,124076,"2021-08-08"
21,122360,"2021-08-10"
22,121735,"2021-08-11"
23,123006,"2021-08-12"
24,122464,"2021-08-13"
25,124759,"2021-08-14"
26,123795,"2021-08-17"
27,120277,"2021-08-18"
28,119998,"2021-08-19"
29,119842,"2021-08-20"
30,117575,"2021-08-21"
31,117575,"2021-08-23"
32,117797,"2021-08-24"
