"name","code",isShow
"军工","BK0490",1
"煤化工","BK0492",1
"新能源","BK0493",1
"节能环保","BK0494",0
"AB股","BK0498",0
"AH股","BK0499",0
"HS300_","BK0500",0
"次新股","BK0501",0
"中字头","BK0505",0
"创投","BK0506",0
"网络游戏","BK0509",0
"ST股","BK0511",0
"化工原料","BK0512",1
"参股券商","BK0514",0
"稀缺资源","BK0519",1
"社保重仓","BK0520",0
"新材料","BK0523",1
"参股期货","BK0524",0
"参股银行","BK0525",0
"转债标的","BK0528",0
"成渝特区","BK0534",0
"QFII重仓","BK0535",0
"基金重仓","BK0536",0
"黄金概念","BK0547",0
"生物疫苗","BK0548",0
"深圳特区","BK0549",0
"机构重仓","BK0552",0
"物联网","BK0554",0
"移动支付","BK0556",0
"基本金属","BK0561",0
"油价相关","BK0563",0
"滨海新区","BK0566",0
"股权激励","BK0567",0
"深成500","BK0568",0
"预亏预减","BK0570",0
"预盈预增","BK0571",0
"锂电池","BK0574",1
"核能核电","BK0577",0
"稀土永磁","BK0578",1
"云计算","BK0579",1
"LED","BK0580",0
"智能电网","BK0581",1
"太阳能","BK0588",1
"铁路基建","BK0592",0
"长江三角","BK0594",0
"风能","BK0595",1
"融资融券","BK0596",0
"水利建设","BK0597",0
"新三板","BK0600",0
"海工装备","BK0601",1
"页岩气","BK0603",0
"参股保险","BK0604",0
"油气设服","BK0606",0
"央视50_","BK0610",0
"上证50_","BK0611",0
"上证180_","BK0612",0
"食品安全","BK0614",0
"中药","BK0615",0
"石墨烯","BK0617",1
"3D打印","BK0619",0
"地热能","BK0622",0
"海洋经济","BK0623",0
"通用航空","BK0625",0
"智慧城市","BK0628",0
"北斗导航","BK0629",0
"土地流转","BK0632",0
"送转预期","BK0633",0
"大数据","BK0634",0
"中超概念","BK0635",0
"B股","BK0636",0
"互联金融","BK0637",0
"创业成份","BK0638",0
"智能机器","BK0640",0
"智能穿戴","BK0641",0
"手游概念","BK0642",0
"上海自贸","BK0643",0
"特斯拉","BK0644",0
"养老概念","BK0653",0
"网络安全","BK0655",0
"智能电视","BK0656",0
"在线教育","BK0662",0
"婴童概念","BK0664",0
