id,"date",change,volume,value
1,"2021-08-06",0.86,3.37,-0.24
2,"2021-08-05",0.89,3.48,-0.31
3,"2021-08-04",0.9,3.49,0.85
4,"2021-08-03",1.03,4.01,-0.47
5,"2021-08-02",1.11,4.33,1.97
6,"2021-07-30",0.98,3.81,-0.42
7,"2021-07-29",0.88,3.45,1.49
8,"2021-07-28",1.02,3.96,-0.58
9,"2021-07-27",1.2,4.69,-2.49
10,"2021-07-26",1.14,4.43,-2.34
11,"2021-07-23",1.15,4.46,-0.68
12,"2021-07-22",0.98,3.81,0.34
13,"2021-07-21",0.87,3.39,0.73
14,"2021-07-20",0.75,2.94,-0.07
15,"2021-07-19",0.86,3.37,-0.01
16,"2021-07-16",0.94,3.66,-0.71
17,"2021-07-15",0.93,3.63,1.02
18,"2021-07-14",0.96,3.72,-1.07
19,"2021-07-13",0.93,3.62,0.53
20,"2021-07-12",1.04,4.04,0.67
21,"2021-07-09",0.9,3.5,-0.04
22,"2021-07-08",0.9,3.51,-0.79
23,"2021-07-07",0.82,3.19,0.66
24,"2021-07-06",0.81,3.14,-0.11
25,"2021-07-05",0.74,2.88,0.44
26,"2021-07-02",0.75,2.92,-1.95
27,"2021-07-01",0.75,2.92,-0.07
28,"2021-06-30",0.69,2.68,0.5
29,"2021-06-29",0.79,3.06,-0.92
30,"2021-06-28",0.82,3.21,-0.03
31,"2021-06-25",0.89,3.46,1.15
32,"2021-06-24",0.86,3.35,0.01
33,"2021-06-23",0.8,3.11,0.25
34,"2021-06-22",0.79,3.08,0.8
35,"2021-06-21",0.72,2.81,0.12
36,"2021-06-18",0.76,2.97,-0.01
37,"2021-06-17",0.71,2.77,0.21
38,"2021-06-16",0.8,3.13,-1.07
39,"2021-06-15",0.9,3.49,-0.92
40,"2021-06-11",0.93,3.61,-0.58
41,"2021-06-10",0.82,3.18,0.54
42,"2021-06-09",0.77,2.98,0.32
43,"2021-06-08",0.78,3.04,-0.54
44,"2021-06-07",0.78,3.04,0.21
45,"2021-06-04",0.85,3.31,0.21
46,"2021-06-03",0.91,3.54,-0.36
47,"2021-06-02",0.89,3.49,-0.76
48,"2021-06-01",0.91,3.53,0.26
49,"2021-05-31",0.85,3.32,0.41
50,"2021-05-28",0.9,3.49,-0.22
51,"2021-05-27",0.79,3.1,0.43
52,"2021-05-26",0.88,3.42,0.34
53,"2021-05-25",0.88,3.41,2.4
54,"2021-05-24",0.74,2.9,0.31
55,"2021-05-21",0.73,2.84,-0.58
56,"2021-05-20",0.84,3.26,-0.11
57,"2021-05-19",0.71,2.78,-0.51
58,"2021-05-18",0.7,2.71,0.32
59,"2021-05-17",0.83,3.22,0.78
60,"2021-05-14",0.87,3.37,1.77
61,"2021-05-13",0.82,3.19,-0.96
62,"2021-05-12",0.8,3.11,0.61
63,"2021-05-11",0.9,3.51,0.4
64,"2021-05-10",0.96,3.74,0.27
65,"2021-05-07",0.91,3.54,-0.65
66,"2021-05-06",0.8,3.1,-0.16
67,"2021-04-30",0.8,3.13,-0.81
68,"2021-04-29",0.71,2.77,0.52
69,"2021-04-28",0.64,2.47,0.42
70,"2021-04-27",0.65,2.53,0.04
71,"2021-04-26",0.71,2.77,-0.95
72,"2021-04-23",0.64,2.49,0.26
73,"2021-04-22",0.64,2.51,-0.23
74,"2021-04-21",0.65,2.54,0
75,"2021-04-20",0.73,2.85,-0.13
76,"2021-04-19",0.78,3.03,1.49
77,"2021-04-16",0.66,2.59,0.81
78,"2021-04-15",0.6,2.34,-0.52
79,"2021-04-14",0.6,2.33,0.6
80,"2021-04-13",0.69,2.71,-0.48
81,"2021-04-12",0.79,3.1,-1.09
82,"2021-04-09",0.72,2.8,-0.92
83,"2021-04-08",0.85,3.32,0.08
84,"2021-04-07",0.76,2.96,-0.1
85,"2021-04-06",0.6,2.35,-0.04
86,"2021-04-02",0.67,2.63,0.52
87,"2021-04-01",0.71,2.75,0.71
88,"2021-03-31",0.73,2.83,-0.43
89,"2021-03-30",0.73,2.85,0.62
90,"2021-03-29",0.73,2.85,0.5
91,"2021-03-26",0.71,2.75,1.63
92,"2021-03-25",0.69,2.71,-0.1
93,"2021-03-24",0.81,3.17,-1.3
94,"2021-03-23",0.84,3.26,-0.93
95,"2021-03-22",0.8,3.13,1.14
96,"2021-03-19",0.79,3.09,-1.69
97,"2021-03-18",0.73,2.84,0.51
98,"2021-03-17",0.72,2.8,-0.03
99,"2021-03-16",0.81,3.17,0.78
100,"2021-03-15",0.94,3.68,-0.96
101,"2021-03-12",0.92,3.58,0.47
102,"2021-03-11",0.83,3.22,2.36
103,"2021-03-10",0.77,3,-0.05
104,"2021-03-09",1.05,4.08,-1.82
105,"2021-03-08",0.99,3.87,-2.3
106,"2021-03-05",0.92,3.56,-0.04
107,"2021-03-04",1.01,3.94,-2.05
108,"2021-03-03",0.89,3.48,1.95
109,"2021-03-02",0.87,3.4,-1.21
110,"2021-03-01",0.81,3.15,1.21
111,"2021-02-26",0.86,3.33,-2.12
112,"2021-02-25",0.94,3.66,0.59
113,"2021-02-24",0.93,3.62,-1.99
114,"2021-02-23",1.02,3.99,-0.17
115,"2021-02-22",1.26,4.89,-1.45
116,"2021-02-19",0.93,3.61,0.57
117,"2021-02-18",0.87,3.4,0.55
118,"2021-02-10",0.66,2.58,1.43
119,"2021-02-09",0.65,2.54,2.01
120,"2021-02-08",0.64,2.5,1.03
121,"2021-02-05",0.74,2.9,-0.16
122,"2021-02-04",0.77,2.99,-0.44
123,"2021-02-03",0.76,2.97,-0.46
124,"2021-02-02",0.68,2.65,0.81
125,"2021-02-01",0.71,2.78,0.64
126,"2021-01-29",0.75,2.94,-0.63
127,"2021-01-28",0.7,2.71,-1.91
128,"2021-01-27",0.68,2.64,0.11
129,"2021-01-26",0.71,2.78,-1.51
130,"2021-01-25",0.84,3.27,0.48
131,"2021-01-22",0.83,3.24,-0.4
132,"2021-01-21",0.84,3.27,1.07
133,"2021-01-20",0.7,2.72,0.47
134,"2021-01-19",0.83,3.23,-0.83
135,"2021-01-18",0.77,3.02,0.84
136,"2021-01-15",0.83,3.25,0.01
137,"2021-01-14",0.89,3.48,-0.91
138,"2021-01-13",1,3.88,-0.27
139,"2021-01-12",0.83,3.23,2.18
140,"2021-01-11",0.93,3.62,-1.08
141,"2021-01-08",0.89,3.46,-0.17
142,"2021-01-07",1.04,4.05,0.71
143,"2021-01-06",0.95,3.7,0.63
144,"2021-01-05",1.05,4.08,0.73
145,"2021-01-04",0.98,3.81,0.86
146,"2020-12-31",0.86,3.36,1.72
147,"2020-12-30",0.75,2.91,1.05
148,"2020-12-29",0.8,3.12,-0.54
149,"2020-12-28",0.81,3.16,0.02
150,"2020-12-25",0.76,2.95,0.99
151,"2020-12-24",0.71,2.75,-0.57
152,"2020-12-23",0.77,3,0.76
153,"2020-12-22",0.83,3.23,-1.86
154,"2020-12-21",0.73,2.84,0.76
155,"2020-12-18",0.72,2.81,-0.29
156,"2020-12-17",0.71,2.75,1.13
157,"2020-12-16",0.57,2.21,-0.01
158,"2020-12-15",0.58,2.26,-0.06
159,"2020-12-14",0.62,2.4,0.66
160,"2020-12-11",0.77,2.99,-0.77
161,"2020-12-10",0.63,2.47,0.04
162,"2020-12-09",0.67,2.61,-1.12
163,"2020-12-08",0.58,2.27,-0.19
164,"2020-12-07",0.65,2.55,-0.81
165,"2020-12-04",0.66,2.56,0.07
166,"2020-12-03",0.77,2.98,-0.21
167,"2020-12-02",0.8,3.13,-0.07
168,"2020-12-01",0.81,3.16,1.77
169,"2020-11-30",0.99,3.85,-0.49
170,"2020-11-27",0.72,2.81,1.14
171,"2020-11-26",0.66,2.56,0.22
172,"2020-11-25",0.83,3.22,-1.19
173,"2020-11-24",0.77,3.01,-0.34
174,"2020-11-23",0.96,3.74,1.09
175,"2020-11-20",0.67,2.61,0.44
176,"2020-11-19",0.65,2.53,0.47
177,"2020-11-18",0.74,2.88,0.22
178,"2020-11-17",0.73,2.84,-0.21
179,"2020-11-16",0.72,2.8,1.11
180,"2020-11-13",0.59,2.28,-0.86
